           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
     0.09340800      0.0706133       7767.930     0.07965040       63.84373     -125.25826       6948.307    -0.00041031       -62.9922
     0.09518500      0.0683892       7767.764     0.07965138       63.83144     -125.24087       6948.386    -0.00020841       -62.9935
     0.09682500      0.0663367       7767.609     0.07965228       63.82005     -125.22479       6948.459    -0.00002065       -62.9946
     0.09834600      0.0644330       7767.465     0.07965312       63.80940     -125.20982       6948.526     0.00015521       -62.9957
     0.09976600      0.0626558       7767.328     0.07965389       63.79940     -125.19581       6948.588     0.00032080       -62.9967
     0.10109800      0.0609887       7767.199     0.07965461       63.78995     -125.18259       6948.646     0.00047805       -62.9977
     0.10235500      0.0594155       7767.075     0.07965529       63.78095     -125.17005       6948.700     0.00062819       -62.9987
     0.10354600      0.0579249       7766.956     0.07965593       63.77235     -125.15807       6948.751     0.00077255       -62.9996
     0.10468200      0.0565031       7766.841     0.07965654       63.76407     -125.14657       6948.800     0.00091223       -63.0005
     0.10577000      0.0551414       7766.729     0.07965712       63.75606     -125.13546       6948.846     0.00104810       -63.0013
     0.10681700      0.0538310       7766.620     0.07965767       63.74827     -125.12467       6948.890     0.00118110       -63.0022
     0.10782900      0.0525645       7766.512     0.07965820       63.74065     -125.11413       6948.932     0.00131196       -63.0030
     0.10881300      0.0513329       7766.406     0.07965871       63.73316     -125.10378       6948.973     0.00144142       -63.0038
     0.10977300      0.0501314       7766.300     0.07965921       63.72577     -125.09356       6949.013     0.00157014       -63.0046
     0.11071400      0.0489537       7766.194     0.07965969       63.71843     -125.08343       6949.052     0.00169874       -63.0054
     0.11164100      0.0477935       7766.087     0.07966016       63.71112     -125.07332       6949.090     0.00182791       -63.0062
     0.11255700      0.0466471       7765.980     0.07966062       63.70379     -125.06320       6949.127     0.00195821       -63.0069
     0.11346800      0.0455069       7765.871     0.07966107       63.69642     -125.05302       6949.164     0.00209032       -63.0077
     0.11437700      0.0443692       7765.760     0.07966152       63.68896     -125.04272       6949.201     0.00222488       -63.0085
     0.11528700      0.0432303       7765.647     0.07966196       63.68139     -125.03226       6949.238     0.00236258       -63.0094
     0.11620400      0.0420826       7765.530     0.07966239       63.67366     -125.02158       6949.274     0.00250417       -63.0102
     0.11713100      0.0409224       7765.410     0.07966283       63.66573     -125.01062       6949.311     0.00265045       -63.0110
     0.11807200      0.0397447       7765.285     0.07966326       63.65756     -124.99933       6949.348     0.00280229       -63.0119
     0.11903300      0.0385419       7765.155     0.07966370       63.64911     -124.98764       6949.386     0.00296066       -63.0128
     0.12001700      0.0373104       7765.018     0.07966414       63.64031     -124.97547       6949.424     0.00312667       -63.0138
     0.12103000      0.0360426       7764.874     0.07966458       63.63111     -124.96274       6949.463     0.00330156       -63.0148
     0.12207700      0.0347322       7764.721     0.07966502       63.62145     -124.94937       6949.503     0.00348670       -63.0158
     0.12316600      0.0333692       7764.559     0.07966547       63.61125     -124.93524       6949.544     0.00368377       -63.0169
     0.12430300      0.0319462       7764.386     0.07966593       63.60041     -124.92023       6949.587     0.00389470       -63.0181
     0.12549600      0.0304531       7764.199     0.07966639       63.58884     -124.90421       6949.632     0.00412161       -63.0193
     0.12675400      0.0288786       7763.996     0.07966687       63.57643     -124.88700       6949.678     0.00436728       -63.0206
     0.12808800      0.0272090       7763.776     0.07966735       63.56303     -124.86842       6949.727     0.00463465       -63.0221
     0.12951000      0.0254293       7763.535     0.07966784       63.54848     -124.84822       6949.778     0.00492757       -63.0236
     0.13103400      0.0235219       7763.269     0.07966834       63.53259     -124.82615       6949.831     0.00525061       -63.0253
     0.13267600      0.0214668       7762.974     0.07966885       63.51514     -124.80184       6949.888     0.00560880       -63.0272
     0.13445700      0.0192378       7762.644     0.07966937       63.49585     -124.77492       6949.949     0.00600945       -63.0292
     0.13640000      0.0168060       7762.267     0.07966989       63.47419     -124.74441       6950.012     0.00646829       -63.0315
     0.13853300      0.0141364       7761.829     0.07967041       63.44962     -124.70935       6950.081     0.00700018       -63.0339
     0.14089000      0.0111865       7761.324     0.07967094       63.42182     -124.66941       6950.152     0.00761299       -63.0366
     0.14351100      0.0079061       7760.738     0.07967148       63.39004     -124.62339       6950.229     0.00832511       -63.0397
     0.14647000      0.0042028       7760.050     0.07967205       63.35325     -124.56974       6950.312     0.00916088       -63.0432
     0.14982800      0.0000000       7759.224     0.07967264       63.30994     -124.50658       6950.395     0.01016342       -63.0473
